epoch,accuracy,auc,auc_pr,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_auc_pr,val_loss,val_precision,val_recall
0,0.41098082065582275,0.7490639686584473,0.9004723429679871,9.999999747378752e-05,0.5352836847305298,0.8942146301269531,0.5808296203613281,0.7699887156486511,0.869135320186615,0.881113588809967,0.5036044120788574,0.7729384303092957,0.7575412392616272
1,0.40971481800079346,0.7512003779411316,0.9021025896072388,9.999999747378752e-05,0.5322230458259583,0.8897401094436646,0.588917076587677,0.7592905163764954,0.898668646812439,0.9041321277618408,0.5181756615638733,0.9438976645469666,0.5458167195320129
2,0.42244136333465576,0.7657983899116516,0.910058856010437,9.999999747378752e-05,0.518155038356781,0.9040871858596802,0.6004886627197266,0.7660472989082336,0.873826265335083,0.8629361987113953,0.5273540616035461,0.8460388779640198,0.6442800164222717
3,0.427971750497818,0.769676923751831,0.9096246361732483,9.999999747378752e-05,0.509361207485199,0.9044167995452881,0.602422833442688,0.8082770109176636,0.8971186876296997,0.9024163484573364,0.47772645950317383,0.8131548166275024,0.7951052784919739
4,0.4287046790122986,0.7686724066734314,0.9115006327629089,9.999999747378752e-05,0.5072152614593506,0.9073695540428162,0.6046659350395203,0.8291103839874268,0.9147403240203857,0.9197050929069519,0.45137277245521545,0.8091397881507874,0.8565737009048462
5,0.42637258768081665,0.7713185548782349,0.9126232266426086,9.999999747378752e-05,0.503059983253479,0.9065646529197693,0.610744297504425,0.8209459185600281,0.9203121066093445,0.9231216311454773,0.4520898759365082,0.8576898574829102,0.7649402618408203
6,0.4281049966812134,0.7703588008880615,0.9117005467414856,9.999999747378752e-05,0.49913913011550903,0.9038127064704895,0.6140143871307373,0.8327702879905701,0.9227098822593689,0.9255262017250061,0.44089558720588684,0.8265019655227661,0.8377916812896729
7,0.42950427532196045,0.7786034345626831,0.9166637659072876,9.999999747378752e-05,0.4953325688838959,0.9122194051742554,0.613839864730835,0.7902590036392212,0.8969283103942871,0.9029785394668579,0.48057183623313904,0.83868807554245,0.7131474018096924
8,0.41877666115760803,0.7678326964378357,0.9135425686836243,9.999999747378752e-05,0.49957069754600525,0.9057465195655823,0.6078572869300842,0.8279842138290405,0.9257041811943054,0.9291591644287109,0.4413546025753021,0.8493902683258057,0.7928286790847778
9,0.4322361350059509,0.7820558547973633,0.9188133478164673,9.999999747378752e-05,0.4948276877403259,0.9120222926139832,0.6204188466072083,0.8462837934494019,0.9304201602935791,0.9335497617721558,0.4293516278266907,0.8299727439880371,0.8668184280395508
10,0.4303704798221588,0.7767163515090942,0.9166494011878967,9.999999747378752e-05,0.49307796359062195,0.9123697280883789,0.6180436015129089,0.840934693813324,0.9247413873672485,0.9306944608688354,0.43864259123802185,0.8200859427452087,0.8690950274467468
11,0.4351012706756592,0.7773385643959045,0.9162667393684387,9.999999747378752e-05,0.4833735227584839,0.9140989780426025,0.6204055547714233,0.8296734094619751,0.926353931427002,0.9289343953132629,0.44028112292289734,0.7790697813034058,0.9151963591575623
12,0.4361007511615753,0.779517650604248,0.9181201457977295,9.999999747378752e-05,0.48516255617141724,0.9146906733512878,0.624434769153595,0.8434684872627258,0.9350178837776184,0.9382086992263794,0.41839680075645447,0.8542773127555847,0.8241320252418518
13,0.43976545333862305,0.7873095273971558,0.920354425907135,9.999999747378752e-05,0.478067547082901,0.9188610911369324,0.6249659061431885,0.8510698080062866,0.9358051419258118,0.9401006698608398,0.41923773288726807,0.8437849879264832,0.8577120304107666
14,0.4432969093322754,0.7887383103370667,0.921013593673706,9.999999747378752e-05,0.4781920909881592,0.9201124310493469,0.6241829991340637,0.8462837934494019,0.9363759160041809,0.9385523796081543,0.4154829680919647,0.8288973569869995,0.8685259222984314
15,0.43849948048591614,0.7843707203865051,0.9205712080001831,9.999999747378752e-05,0.47865208983421326,0.9195402264595032,0.6278755068778992,0.849380612373352,0.9413623213768005,0.9439298510551453,0.4101402759552002,0.8568925261497498,0.8349459171295166
16,0.44296374917030334,0.7895079851150513,0.9233878254890442,9.999999747378752e-05,0.4687331020832062,0.9218977093696594,0.6305703520774841,0.8386824131011963,0.9295916557312012,0.934738039970398,0.4269787669181824,0.8540669679641724,0.8127490282058716
17,0.44489604234695435,0.7896292209625244,0.9228764176368713,9.999999747378752e-05,0.4687140882015228,0.9227789044380188,0.6277378797531128,0.8586711883544922,0.9456653594970703,0.9465997815132141,0.4026908874511719,0.8276762366294861,0.9021058678627014
18,0.44489604234695435,0.7854739427566528,0.9215201139450073,9.999999747378752e-05,0.46941423416137695,0.9218418002128601,0.6297706365585327,0.8648648858070374,0.9494255185127258,0.9503794312477112,0.39810964465141296,0.8811940550804138,0.8400682806968689
19,0.4399653375148773,0.7950806617736816,0.9262917637825012,9.999999747378752e-05,0.46655967831611633,0.925886869430542,0.6311578750610352,0.8626126050949097,0.9474950432777405,0.9473779201507568,0.4020000696182251,0.8511344790458679,0.8753557205200195
