epoch,accuracy,auc,auc_pr,f1_score,loss,precision,recall,val_accuracy,val_auc,val_auc_pr,val_f1_score,val_loss,val_precision,val_recall
0,0.5498608946800232,0.5723541378974915,0.5467303991317749,0.551977276802063,0.8391389846801758,0.5464167594909668,0.5576522350311279,0.4912126660346985,0.6813844442367554,0.6938825249671936,0.6465920209884644,0.6875609159469604,0.49058350920677185,0.948090672492981
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4912126660346985,0.6813844442367554,0.6938825249671936,0.6465920209884644,0.6875608563423157,0.49058350920677185,0.948090672492981
2,0.5239112377166748,0.5203146934509277,0.5363000631332397,0.524034321308136,0.7750883102416992,0.5210343599319458,0.5270692110061646,0.5008787512779236,0.5498249530792236,0.47743508219718933,0.6582430005073547,0.7073977589607239,0.4957703948020935,0.9791169166564941
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008787512779236,0.5498249530792236,0.47743508219718933,0.6582430005073547,0.7073977589607239,0.4957703948020935,0.9791169166564941
4,0.4883841276168823,0.4798026978969574,0.48770272731781006,0.5004422664642334,0.7743242979049683,0.48636698722839355,0.5153566002845764,0.5187463164329529,0.5354742407798767,0.5319608449935913,0.0816098228096962,0.7088050246238708,0.6460176706314087,0.0435560867190361
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187463164329529,0.5354742407798767,0.5319608449935913,0.0816098228096962,0.70880526304245,0.6460176706314087,0.0435560867190361
6,0.5582734942436218,0.5610160827636719,0.5402095913887024,0.5451758503913879,0.7436224222183228,0.5585745573043823,0.5324050188064575,0.5035149455070496,0.4309530556201935,0.42431819438934326,0.0,0.7075395584106445,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5035149455070496,0.4309530556201935,0.42431819438934326,0.0,0.7075395584106445,0.0,0.0
8,0.5304471850395203,0.5417211055755615,0.5323119759559631,0.43170422315597534,0.7170343399047852,0.5420928597450256,0.35866737365722656,0.49091973900794983,0.6155639886856079,0.5606828927993774,0.6585461497306824,0.7003949880599976,0.49091973900794983,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49091973900794983,0.6155639886856079,0.5606828927993774,0.6585461497306824,0.7003950476646423,0.49091973900794983,1.0
10,0.44205009937286377,0.4305582344532013,0.4462065100669861,0.4713671803474426,0.7298253774642944,0.4456294775009155,0.5002602934837341,0.49091973900794983,0.6033133268356323,0.5349096059799194,0.6585461497306824,0.6948312520980835,0.49091973900794983,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49091973900794983,0.6033133268356323,0.5349096059799194,0.6585461497306824,0.6948312520980835,0.49091973900794983,1.0
12,0.5147220492362976,0.5122994184494019,0.4972131848335266,0.5610768795013428,0.7199836373329163,0.5098393559455872,0.6237636804580688,0.49414175748825073,0.552969753742218,0.50539231300354,0.6586281061172485,0.6978684067726135,0.49246230721473694,0.9940333962440491
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49414175748825073,0.552969753742218,0.50539231300354,0.6586281061172485,0.6978684067726135,0.49246230721473694,0.9940333962440491
14,0.5050151944160461,0.4857560992240906,0.48395413160324097,0.5343073606491089,0.7196548581123352,0.5020020604133606,0.5710567235946655,0.4543057978153229,0.5859531164169312,0.5044205784797668,0.0898876041173935,0.6972315311431885,0.24797843396663666,0.05489259958267212
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543057978153229,0.5859531164169312,0.5044205784797668,0.0898876041173935,0.6972315311431885,0.24797843396663666,0.05489259958267212
16,0.466770201921463,0.45350414514541626,0.462921142578125,0.34185299277305603,0.705223023891449,0.44251447916030884,0.2785007953643799,0.5691271424293518,0.5608454346656799,0.4898715019226074,0.5213146209716797,0.7138049006462097,0.5733715295791626,0.4779236316680908
